,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
2,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
3,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
4,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
5,541,Blade Runner (1982),Action|Sci-Fi|Thriller
6,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
7,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
8,858,"Godfather, The (1972)",Crime|Drama
9,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
10,1193,One Flew Over the Cuckoo's Nest (1975),Drama
11,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
12,1214,Alien (1979),Horror|Sci-Fi
13,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
14,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
15,2959,Fight Club (1999),Action|Crime|Drama|Thriller
16,3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
17,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
18,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
19,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
20,5218,Ice Age (2002),Adventure|Animation|Children|Comedy
21,5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
22,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
23,5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
24,6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
25,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
26,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
27,8957,Saw (2004),Horror|Mystery|Thriller
28,8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
29,33794,Batman Begins (2005),Action|Crime|IMAX
30,34150,Fantastic Four (2005),Action|Adventure|Sci-Fi
31,45722,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy
32,49272,Casino Royale (2006),Action|Adventure|Thriller
33,52722,Spider-Man 3 (2007),Action|Adventure|Sci-Fi|Thriller|IMAX
34,53125,Pirates of the Caribbean: At World's End (2007),Action|Adventure|Comedy|Fantasy
35,54001,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
36,59315,Iron Man (2008),Action|Adventure|Sci-Fi
37,63992,Twilight (2008),Drama|Fantasy|Romance|Thriller
38,68954,Up (2009),Adventure|Animation|Children|Drama
39,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
40,77561,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX
41,79091,Despicable Me (2010),Animation|Children|Comedy|Crime
42,79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
43,86332,Thor (2011),Action|Adventure|Drama|Fantasy|IMAX
44,86880,Pirates of the Caribbean: On Stranger Tides (2011),Action|Adventure|Fantasy|IMAX
45,88125,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX
46,88140,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War
47,88744,Rise of the Planet of the Apes (2011),Action|Drama|Sci-Fi|Thriller
48,89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX
49,91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
50,95510,"Amazing Spider-Man, The (2012)",Action|Adventure|Sci-Fi|IMAX
51,96079,Skyfall (2012),Action|Adventure|Thriller|IMAX
52,97938,Life of Pi (2012),Adventure|Drama|IMAX
53,98809,"Hobbit: An Unexpected Journey, The (2012)",Adventure|Fantasy|IMAX
54,99114,Django Unchained (2012),Action|Drama|Western
55,102125,Iron Man 3 (2013),Action|Sci-Fi|Thriller|IMAX
56,103228,Pacific Rim (2013),Action|Adventure|Sci-Fi|IMAX
57,103335,Despicable Me 2 (2013),Animation|Children|Comedy|IMAX
58,104841,Gravity (2013),Action|Sci-Fi|IMAX
59,106072,Thor: The Dark World (2013),Action|Adventure|Fantasy|IMAX
60,106696,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance
61,109487,Interstellar (2014),Sci-Fi|IMAX
62,110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX
63,111360,Lucy (2014),Action|Sci-Fi
64,111362,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi
65,111781,Mission: Impossible - Rogue Nation (2015),Action|Adventure|Thriller
66,112171,"Equalizer, The (2014)",Action|Crime|Thriller
67,112175,How to Train Your Dragon 2 (2014),Action|Adventure|Animation
68,112183,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama
69,112556,Gone Girl (2014),Drama|Thriller
70,112623,Dawn of the Planet of the Apes (2014),Sci-Fi
71,112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
72,114180,"Maze Runner, The (2014)",Action|Mystery|Sci-Fi
73,114935,Predestination (2014),Action|Mystery|Sci-Fi|Thriller
74,115149,John Wick (2014),Action|Thriller
75,115210,Fury (2014),Action|Drama|War
76,115569,Nightcrawler (2014),Crime|Drama|Thriller
77,115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
78,116797,The Imitation Game (2014),Drama|Thriller|War
79,116823,The Hunger Games: Mockingjay - Part 1 (2014),Adventure|Sci-Fi|Thriller
80,118696,The Hobbit: The Battle of the Five Armies (2014),Adventure|Fantasy
81,120466,Chappie (2015),Action|Thriller
82,122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
83,122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
84,122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi
85,122900,Ant-Man (2015),Action|Adventure|Sci-Fi
86,122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
87,122918,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi
88,122920,Captain America: Civil War (2016),Action|Sci-Fi|Thriller
89,130490,Insurgent (2015),Action|Sci-Fi|Thriller
90,130634,Furious 7 (2015),Action|Crime|Thriller
91,134853,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy
92,135143,Fantastic Beasts and Where to Find Them (2016),Fantasy
93,136020,Spectre (2015),Action|Adventure|Crime
94,136864,Batman v Superman: Dawn of Justice (2016),Action|Adventure|Fantasy|Sci-Fi
95,143355,Wonder Woman (2017),Action|Adventure|Fantasy
96,152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy
97,168252,Logan (2017),Action|Sci-Fi
98,171763,Baby Driver (2017),Action|Crime|Thriller
99,174055,Dunkirk (2017),Action|Drama|Thriller|War
